24-hr_psi,north,south,east,west,central
2016-02,45.27,48.3,50.78,44.63,47.74
2016-03,53.76,58.01,54.8,54.02,56.33
2016-04,61.91,60.4,57.53,60.68,59.44
2016-05,55.02,51.96,49.21,51.36,50.38
2016-06,57.31,51.9,48.98,50.24,50.15
2016-07,56.76,50.39,47.35,50.67,48.54
2016-08,62.73,55.25,51.93,56.61,54.28
2016-09,59.14,56.56,53.78,51.05,54.59
2016-10,57.65,55.89,51.34,49.82,54.02
2016-11,51.87,48.54,48.71,40.96,47.6
2016-12,45.73,42.12,47.38,40.04,39.58
2017-01,45.45,42.52,45.28,38.74,40.94
2017-02,48.67,50.25,47.81,42.76,46.0
2017-03,55.81,58.84,53.03,49.41,53.14
2017-04,58.72,60.56,55.75,49.5,52.65
2017-05,53.18,53.72,46.03,45.66,45.2
2017-06,52.04,49.24,45.56,46.69,43.02
2017-07,51.14,47.78,46.24,46.39,43.81
2017-08,50.7,46.5,47.26,44.1,43.96
2017-09,55.36,49.3,50.27,52.92,47.92
2017-10,57.93,57.24,57.83,50.65,55.44
2017-11,49.85,46.76,52.41,42.22,45.34
2017-12,47.6,47.21,52.21,44.32,46.94
2018-01,44.55,37.59,44.76,35.63,40.49
2018-02,53.99,57.18,51.84,50.0,57.47
2018-03,51.13,53.08,47.66,48.1,48.78
2018-04,54.44,57.2,52.65,49.72,54.9
2018-05,56.23,54.51,48.38,47.02,54.34
2018-06,51.65,52.41,46.76,50.33,53.56
2018-07,54.24,58.64,52.53,53.75,54.44
2018-08,56.13,59.07,56.8,53.38,57.04
2018-09,58.48,57.4,55.06,57.44,58.14
2018-10,54.09,58.5,57.14,50.09,55.98
2018-11,48.38,51.29,51.51,40.6,49.54
2018-12,45.07,49.11,48.69,35.82,46.45
2019-01,43.7,50.33,48.95,38.36,46.03
2019-02,43.01,52.23,48.83,35.96,47.83
2019-03,53.36,58.91,56.66,51.92,57.12
2019-04,51.61,54.82,52.15,49.65,52.78
2019-05,50.6,48.21,48.54,46.8,48.85
2019-06,44.37,42.68,39.32,40.63,43.24
2019-07,51.41,51.58,52.32,52.07,50.54
2019-08,58.14,60.59,59.39,59.31,59.07
2019-09,76.39,83.67,79.6,80.13,77.47
2019-10,56.14,55.33,56.03,55.33,56.35
2019-11,53.71,56.84,58.52,49.24,53.62
2019-12,37.27,42.42,41.74,34.82,41.58
2020-01,38.54,45.27,42.9,38.72,46.42
2020-02,38.38,42.6,46.45,40.94,47.74
2020-03,40.25,44.01,46.02,46.07,51.38
2020-04,45.78,42.04,45.13,42.0,47.45
2020-05,43.2,40.81,43.03,37.22,42.63
2020-06,43.86,37.66,35.35,33.12,36.92
2020-07,42.3,36.57,37.42,32.05,34.83
2020-08,49.99,50.06,49.69,43.01,47.07
2020-09,48.48,46.75,44.97,40.58,45.18
2020-10,49.65,51.87,49.73,40.38,47.77
2020-11,46.48,52.05,46.59,33.35,45.54
2020-12,43.99,52.16,51.38,33.9,41.33
2021-01,43.14,47.59,44.22,35.73,39.59
2021-02,52.02,53.32,55.96,45.03,49.49
2021-03,48.51,48.34,51.19,40.83,48.97
2021-04,54.16,51.3,53.43,48.45,52.8
2021-05,50.93,43.95,39.59,43.11,47.3
2021-06,56.03,47.74,39.44,46.32,51.58
2021-07,51.92,42.63,38.54,43.64,50.27
2021-08,46.49,37.01,28.55,38.88,46.66
2021-09,49.85,32.2,32.63,41.27,49.78
2021-10,54.03,38.22,50.28,46.35,54.44
2021-11,49.1,33.51,46.91,37.12,50.17
2021-12,45.92,36.73,46.68,36.6,47.57
2022-01,44.51,38.53,45.85,33.86,46.08
2022-02,38.23,32.13,36.83,29.28,42.09
2022-03,47.42,40.16,47.76,39.56,48.9
2022-04,54.57,46.36,52.28,45.79,55.43
2022-05,48.84,39.12,43.23,39.91,51.26
2022-06,42.01,36.17,44.85,44.66,40.42
2022-07,44.41,40.68,46.27,42.07,41.44
2022-08,42.48,42.63,45.38,46.96,43.87
2022-09,47.23,43.99,47.69,44.71,46.89
2022-10,33.15,38.34,41.26,25.03,37.92
2022-11,24.29,37.58,45.08,30.54,35.19
2022-12,24.65,37.75,43.95,28.47,33.31
2023-01,23.45,36.19,42.81,29.02,32.24
2023-02,23.15,39.6,47.29,28.13,28.46
2023-03,33.99,42.38,47.34,28.92,37.12
2023-04,33.85,49.19,53.07,35.24,45.6
2023-05,25.73,42.66,45.77,31.0,35.96
2023-06,27.24,41.83,47.0,30.31,38.14
2023-07,34.46,41.22,44.05,27.61,46.34
2023-08,41.83,48.24,55.19,35.38,55.29
2023-09,45.95,52.85,61.82,42.03,59.59
2023-10,50.88,59.86,66.07,47.69,65.34
2023-11,35.55,43.04,51.46,40.15,50.26
2023-12,26.68,32.2,41.27,31.23,37.17
2024-01,30.82,37.12,45.26,32.6,39.61
2024-02,40.4,45.68,52.67,43.09,48.99
2024-03,37.33,45.29,53.7,44.61,51.13
2024-04,43.99,37.17,43.18,45.42,48.2
2024-05,40.11,35.03,39.17,44.27,45.32
2024-06,43.26,40.01,41.24,50.71,49.68
2024-07,48.24,48.51,51.5,58.39,55.85
2024-08,43.77,43.28,49.59,52.77,49.56
